0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.016164895434318697e-05,-9.999076692394039956e-01,-1.065419411180292057e-04,1.821252271028788290e-05,1.089338542013559792e-05,-4.001342188295262409e-06
6.048106634416470563e-05,-9.997230085872257366e-01,-3.196239880142354205e-04,5.463631455860036882e-05,3.267811842526650872e-05,-1.200392412972865007e-05
1.209467151784286894e-04,-9.994459984901150618e-01,-6.392900049830268355e-04,1.092945440095560315e-04,6.534820533787487568e-05,-2.400734230311135807e-05
2.015394025522710406e-04,-9.990765989894806465e-01,-1.065629501001409858e-03,1.822347628581645542e-04,1.088936965955869610e-04,-4.001089002507919482e-05
3.022322794831752528e-04,-9.986147497468734757e-01,-1.598777545519226156e-03,2.735288453982148531e-04,1.633006860137239751e-04,-6.001355320104933709e-05
4.229908400322762566e-04,-9.980603700777386234e-01,-2.238914654651733265e-03,3.832729052358037824e-04,2.285513093570166077e-04,-8.401400390638786675e-05
5.637729197187863004e-04,-9.974133589937070887e-01,-2.986266647237857935e-03,5.115871893842390645e-04,3.046237422250424546e-04,-1.120105918017233015e-04
7.245286932363317282e-04,-9.966735952536619481e-01,-3.841104470030140376e-03,6.586159491424304312e-04,3.914921972564239347e-04,-1.440013333872187571e-04
9.052006714809115572e-04,-9.958409374238764711e-01,-4.803743991084669269e-03,8.245272871245421615e-04,4.891269206573751983e-04,-1.799838991015660541e-04
1.105723697901285453e-03,-9.949152239475849147e-01,-5.874545760221027736e-03,1.009512979674039111e-03,5.974941880608325949e-04,-2.199555982725039159e-04
1.326024944183901719e-03,-9.938962732244104314e-01,-7.053914735223323733e-03,1.213788273760233816e-03,7.165562997231679715e-04,-2.639133619268158883e-04
1.566023905286032056e-03,-9.927838837001382588e-01,-8.342299972253617094e-03,1.437591657319999645e-03,8.462715750663892585e-04,-3.118537234690453705e-04
1.825632393832630779e-03,-9.915778339673866348e-01,-9.740194278748549178e-03,1.681184601871435784e-03,9.865943465748009018e-04,-3.637727972396002907e-04
2.104754533894626772e-03,-9.902778828777911713e-01,-1.124813382686862956e-02,1.944851276090002251e-03,1.137474953056358956e-03,-4.196662549645292155e-04
2.403286754168932737e-03,-9.888837696663838051e-01,-1.286669772536765989e-02,2.228898228901032667e-03,1.298859732280428867e-03,-4.795293001110546827e-04
2.721117780583474487e-03,-9.873952140889116214e-01,-1.459650754754727650e-02,2.533654040505753033e-03,1.470691013005379424e-03,-5.433566401649737041e-04
3.058128628354037006e-03,-9.858119165729046784e-01,-1.643822681275883962e-02,2.859468939621128726e-03,1.652907106411435770e-03,-6.111424568483024176e-04
3.414192593523778657e-03,-9.841335583833678013e-01,-1.839256041871232400e-02,3.206714385077316654e-03,1.845442296956515673e-03,-6.828803742980758991e-04
